subject,activity,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyAccMag-mean(),tGravityAccMag-mean(),tBodyAccJerkMag-mean(),tBodyGyroMag-mean(),tBodyGyroJerkMag-mean(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-meanFreq()-X,fBodyAcc-meanFreq()-Y,fBodyAcc-meanFreq()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-meanFreq()-X,fBodyAccJerk-meanFreq()-Y,fBodyAccJerk-meanFreq()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-meanFreq()-X,fBodyGyro-meanFreq()-Y,fBodyGyro-meanFreq()-Z,fBodyAccMag-mean(),fBodyAccMag-meanFreq(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-meanFreq(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-meanFreq(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-meanFreq(),tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-std(),tGravityAccMag-std(),tBodyAccJerkMag-std(),tBodyGyroMag-std(),tBodyGyroJerkMag-std(),fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-std(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-std()
1,NA,0.26569692058213257,-0.01829817251760807,-0.10784573454610952,0.744867411573487,-0.08255625798559078,0.07233987038904899,0.07709304951268012,0.01659084388023055,-0.00910758730117003,-0.02087640643201729,-0.08807227294005764,0.08626416665979827,-0.09711201972659943,-0.04171648082939481,-0.04713939854775216,-0.45363294376881846,-0.45363294376881846,-0.5454316120665706,-0.4754047858023055,-0.6395174326426513,-0.5318951612582132,-0.40643544890443806,-0.5964111652536023,-0.18055871401074927,0.0576291646962536,0.05836927766097983,-0.5473488924357637,-0.5073436179698588,-0.695305113832853,-0.04880059658847262,-0.21527915818414986,-0.09644963769971182,-0.6232191823115274,-0.5053094340700288,-0.5535290654256484,-0.03203241027590778,-0.09015172359740634,-0.018006394347233428,-0.47844852335417865,0.14206216250613832,-0.4990757656240922,0.2000551795278386,-0.5350027703377521,0.06493094381602306,-0.6459706552988472,0.19803158005645533,-0.5457953313283257,-0.36771621822737754,-0.5026457465628242,-0.9598594359365994,-0.9511506274582132,-0.9258175908674352,-0.524721922818732,-0.4704124035112392,-0.7173222748818444,-0.6865557152017291,-0.4509798104995677,-0.5974961367951008,-0.6378126872103747,-0.6344722445504323,-0.6645919777864553,-0.49709640203832856,-0.49709640203832856,-0.5159221675551585,-0.4998395937458213,-0.6520507709106629,-0.5530606166634006,-0.39015093964706055,-0.49858309167608067,-0.5439797761278674,-0.46625167653337174,-0.7378619326801152,-0.7082634208616715,-0.42982583264870317,-0.6504761621325649,-0.5897102312178675,-0.5418230795700288,-0.5665766703976945,-0.6858112626340057
2,NA,0.27311311578807945,-0.019132318317483445,-0.11564995817549668,0.6607828666887418,-0.1472198869104106,0.13486533509072848,0.0785353156747351,0.007087712497649007,7.557607483774834e-4,-0.0517030657821192,-0.05684201868178808,0.08725994222913908,-0.08755874916688741,-0.04339868354536424,-0.05575418281887417,-0.5352818005417218,-0.5352818005417218,-0.5877774454354304,-0.6147710548931457,-0.746559539039735,-0.5737709114294702,-0.432566581302351,-0.6300812221248344,-0.10676341890178807,0.10573417602314569,0.087210586428,-0.5616820496221854,-0.5089037990145695,-0.7157453304039735,0.08680005362098013,-0.13977659536218542,-0.09426518682185431,-0.6387176945930464,-0.7220689786357616,-0.6015948896543046,-0.00576500648245033,-0.07021550086655629,0.051362729121490064,-0.5145698613168874,0.19219973821821193,-0.509746432970861,0.1930668211182119,-0.6997429452218543,0.04713248123798013,-0.7516150783609271,0.12461206859976821,-0.6055864971592715,-0.42896298658940396,-0.589360062210596,-0.9630155082450331,-0.960033560165563,-0.9453653839072848,-0.5578096031238411,-0.4918758898317881,-0.7418853883112583,-0.7106489278158941,-0.7229436743377483,-0.6348889278430464,-0.6716791033112582,-0.7835954667284768,-0.6746119332930464,-0.5528125456437086,-0.5528125456437086,-0.5121152784152317,-0.6805848878807947,-0.7400887336556291,-0.6197881028033112,-0.464723862913245,-0.6006786148350993,-0.5951056128950332,-0.5091475436738411,-0.7670870154966888,-0.7345885401821192,-0.7271677410264901,-0.683114494539735,-0.6466623084572848,-0.5188007977092716,-0.7253103376887418,-0.7441949814403973
3,NA,0.2734287196363636,-0.01785606738495601,-0.10649263242909678,0.7078143533431085,-0.0260590480328739,0.04809379041906158,0.07017312619888563,0.014466432906041056,-5.268188728753664e-4,-0.024849068282844573,-0.07435653084428152,0.08668754971190616,-0.09915546096334311,-0.040192394369501463,-0.052117826417008795,-0.5631408027700586,-0.5631408027700586,-0.6501824343284458,-0.6431501216480938,-0.7840566562463344,-0.625733289873607,-0.5017799385052786,-0.6996568285923753,-0.1928173404953079,0.038928252328445746,0.004472614490527859,-0.6458934966304986,-0.582949919157742,-0.7801016441935484,-0.04769412004709677,-0.23687424088592376,-0.19365753930507332,-0.6420977197785924,-0.7751449850733138,-0.6707347089964809,-0.10256806767067449,-0.1676750255829912,-0.03218626882211144,-0.5790764537580645,0.07706655875627566,-0.6047521080727273,0.11231984174565983,-0.7168221442791789,-0.08460752312451261,-0.8100854986510264,0.05996287332521994,-0.6234136020469209,-0.480015920697654,-0.6536255792932552,-0.9664575656304986,-0.9445645371260997,-0.9269662782111437,-0.6354846880410557,-0.5572118677378299,-0.79606624023460415,-0.6992621957058651,-0.7630221817008798,-0.7094834403225806,-0.6893284286070381,-0.842659862111437,-0.7430285005659824,-0.5912247803064516,-0.5912247803064516,-0.6076582141703812,-0.6740102909794722,-0.8036613637243402,-0.6238050151994134,-0.5027536397958944,-0.657443765803519,-0.657844055881525,-0.5598511860884077,-0.8108060165982405,-0.719276622702346,-0.7585052872140763,-0.751008875659824,-0.663079838985044,-0.6156436948573607,-0.7038394030070381,-0.810032718739003
4,NA,0.2741831114984227,-0.014808154534492114,-0.10752143081072556,0.7065930431230284,0.11259119549698643,0.16413089661829652,0.07886378451514195,0.0035134094951419555,-0.007373751428328076,-0.0289417906907571,-0.0787229907785489,0.09571748660094637,-0.10785931571324921,-0.040042757466246054,-0.05780893040006309,-0.5615821351069401,-0.5615821351069401,-0.656116311856877,-0.6562910938473187,-0.819191368044164,-0.6288063791009464,-0.5258345661514195,-0.755235428895899,-0.18451857131981073,0.08477075378832807,-0.016409685511962143,-0.6520230780388012,-0.6016962237594953,-0.8251548711356467,-5.439917964668769e-4,-0.18058411137665614,-0.11056554933848581,-0.6418819775539433,-0.8315275310094637,-0.6893089464227129,-0.11851821244728707,-0.3753325445659306,0.024188940324921134,-0.6020980376776025,0.09636366893223974,-0.6350190054104101,0.16047988255981072,-0.7456507546088328,-0.12930151725687697,-0.8388332096529968,0.15907572751498422,-0.6052117277854889,-0.5099293840113249,-0.7094927359621451,-0.9626369792744479,-0.9414168001671924,-0.9414034260725552,-0.6318530832896214,-0.5840632047018928,-0.8433532311671924,-0.7013977033690851,-0.7982357487381704,-0.7263741970662461,-0.7237886178233438,-0.9025025926182966,-0.7483691413154574,-0.6065560495488959,-0.6065560495488959,-0.6472499668107256,-0.7067384935425868,-0.8441870641640379,-0.5975513241556782,-0.5346615243419873,-0.7087640437223974,-0.6446220047044164,-0.5938551515246057,-0.8605446683596214,-0.7217491873280757,-0.7828857358675079,-0.7670895729652997,-0.6729483416876971,-0.6665067189369085,-0.7325863048264984,-0.8630968640378549
5,NA,0.2791779603013245,-0.015483345533619205,-0.10566173681688741,0.6981537190728477,0.11231310973675497,0.09216071974499039,0.08410198996225166,0.001765683038410597,-0.0029537113427350993,-0.029451687364304636,-0.07743164455960265,0.08662671167450331,-0.10352287714735099,-0.04906245193741722,-0.050625816012251655,-0.4608664155687086,-0.4608664155687086,-0.5893138700066225,-0.6027702848258278,-0.7073835175827815,-0.5512377051324503,-0.44023243179503313,-0.6961718114900662,-0.22637068994205298,0.0748636861897351,0.006266317570794703,-0.6047698694387417,-0.5509919698574172,-0.7687623579801325,-0.1029208449910596,-0.27429092242043046,-0.16370624635165562,-0.6322393008298013,-0.7170621878145695,-0.5373291272932782,-0.03816469866490066,-0.07206660071956954,0.07440289879188741,-0.5285030227450331,0.07814555948453643,-0.5731761770441722,0.13161929893509933,-0.6773557557033113,0.06221911393529801,-0.7488293095364238,0.030756455656589406,-0.5076910113917219,-0.4027249060781457,-0.6464436401754967,-0.96462910880794706,-0.9399737779503311,-0.9420786788410596,-0.5758905356798013,-0.5065443586096027,-0.7845619948675496,-0.7099556769834438,-0.7056383066887417,-0.6065898173807946,-0.6625813103344371,-0.7741142703642384,-0.5646807712490066,-0.5216234517119205,-0.5216234517119205,-0.5890312681331126,-0.6640783835327815,-0.7341874933443708,-0.4928298857486755,-0.4221621711003311,-0.6493512107483443,-0.5840136269834437,-0.4915004343039073,-0.7988355638079471,-0.7357385771854305,-0.7022903909602649,-0.6693536874834437,-0.5942595297569536,-0.6134851236092715,-0.7157311481456954,-0.7356106024834437
6,NA,0.27237661418153847,-0.017569704264184614,-0.11599454136,0.6887020635692308,0.016205545595384615,0.04751999909064615,0.08138336040347692,4.7928112966153874e-4,-0.0022589630207692306,-0.04336117853744616,-0.07061290974984616,0.0973130293888923,-0.08291599660932308,-0.04549210056153846,-0.05336103236676923,-0.4647700069981231,-0.4647700069981231,-0.5514136523969231,-0.5494948520370462,-0.6219361585323077,-0.5061749262215385,-0.39204141013876925,-0.6837259450153846,-0.19153706681353846,0.05901148786058461,0.1130460892887077,-0.549394273848923,-0.5035589737036923,-0.7208671577415384,-0.09561402599744616,-0.3054226684489231,-0.1006823905788,-0.5372014420698461,-0.6211887248584615,-0.5076042075064615,0.028908719473353845,-0.042790020624615385,0.101044783556,-0.47397492438043076,0.10234668222784615,-0.4948823162384615,0.08311654532276923,-0.5791300511513846,0.10419339760793846,-0.6518869092215385,0.081817622852,-0.5050860850720615,-0.36840367013726155,-0.6725120045867077,-0.9588987090153847,-0.9509348864,-0.9379102235076923,-0.5314683102621538,-0.45443749688581536,-0.7389552076276923,-0.6538006600415385,-0.6262520726523076,-0.5999102328556923,-0.5460099683723076,-0.6776359805015385,-0.5269083063068923,-0.48379060635415383,-0.48379060635415383,-0.5029350623107692,-0.5798378180636923,-0.6444744854604924,-0.5066802765304923,-0.3966777938479077,-0.6943652072338462,-0.5553461594003323,-0.4378374592873846,-0.7557511440984616,-0.692862440004,-0.6332362297538462,-0.67302031484,-0.5709102899938462,-0.5167112621739692,-0.6573686738498462,-0.6601758752102461
7,NA,0.2702116978149351,-0.018790488766818183,-0.1124923753883117,0.6812891208441558,-0.042022145249675326,0.03421607119286039,0.08318295731688312,0.007609097674188312,-0.007917256960487014,-0.05187169294077922,-0.06460771130788961,0.09776717214061688,-0.09420373761826624,-0.04144014060827922,-0.06103079281487013,-0.5113120367474026,-0.5113120367474026,-0.6228157676802922,-0.5818998979675325,-0.7131913483376623,-0.593011288564935,-0.5635477851740259,-0.5310059414955519,-0.3117905123824675,-0.030071329639935068,0.014662085284448052,-0.6375219402438311,-0.6416873338502272,-0.6425157165742857,-0.11978430017462013,-0.23950171401590908,-0.22026086104905843,-0.6437675784935065,-0.6304192750061688,-0.6550833549058441,-0.13449177278577923,-0.10388451454756494,-0.0863412384825,-0.5183238788246753,-0.01068737452127922,-0.5533600096581818,0.10869573052253247,-0.6288772727911364,-0.035227633400555194,-0.6688791881563961,0.0631920436939935,-0.577518324748052,-0.5464033653457793,-0.4564736422569805,-0.9565381785876623,-0.9553125540909091,-0.9233047240909091,-0.6151313774082792,-0.622997416262013,-0.6643368605444155,-0.6871554740974026,-0.6524086579090909,-0.6633407603311688,-0.7017312004844156,-0.6749201149574675,-0.7508087055941558,-0.510669879158539,-0.510669879158539,-0.5505602305857142,-0.5986707958392857,-0.6580178449483767,-0.572347541484091,-0.567046977262987,-0.4607921232773052,-0.6267857445844156,-0.6285316307194805,-0.6848564389538961,-0.7038836468961039,-0.6711619228376623,-0.6989495189058441,-0.5838197960922078,-0.5506832549084416,-0.6509236482077922,-0.668963362464935
8,NA,0.2707590632953737,-0.01818949746886121,-0.10680962368398576,0.6474981754092527,0.03032111131188612,0.08365424068079359,0.08421574537551602,8.603015817864773e-4,-0.019671991299430605,0.0035905389716014233,-0.09107750983266905,0.06408676115619218,-0.10496985520035587,-0.040092224033167256,-0.058288714836654806,-0.46852259284341635,-0.46852259284341635,-0.5342486166120285,-0.47621494382619217,-0.673625525658363,-0.5818314146483986,-0.3749442362064057,-0.5509793887199288,-0.21602226168647687,0.026329752412455516,0.0913951982033452,-0.5916350091060498,-0.495906215569395,-0.6442858024067616,0.021233676881067615,-0.1690615744113879,-0.08260861049501779,-0.6013824212483986,-0.5759384827113879,-0.5255629190474377,-0.11710279371565836,-0.15387969579619218,-0.043025880663523135,-0.5121067928569395,0.1465414396819573,-0.529244911130605,0.2715288702786477,-0.6099842891800712,-0.023224152595191814,-0.7021562154672598,0.22374869333701067,-0.5829588630174377,-0.34938373204626333,-0.49947268791316723,-0.9542566660355872,-0.9484464504733096,-0.9231806636014235,-0.5759930739117438,-0.45872492516797153,-0.6683567847551601,-0.6562192422818506,-0.5709412370192171,-0.5113920380128114,-0.6749844522402135,-0.6830869302889679,-0.6959703017544484,-0.5540389792661922,-0.5540389792661922,-0.5644719999615658,-0.5814228853412812,-0.7158383855160142,-0.5853434605355872,-0.3786564589679715,-0.5132063129590747,-0.5985462452366548,-0.4563683958569395,-0.6914809169501779,-0.6752753530782918,-0.5730872921725979,-0.5539685878697509,-0.651638076286121,-0.6180274149110321,-0.6366738911441281,-0.7557172999644128
9,NA,0.2703138416215278,-0.020946655541239582,-0.10123382621388889,0.6708455455555555,-0.046744699950902774,0.10435365303274306,0.08401714302916667,0.006784858483993055,-0.0010299808819444443,-0.07013181545614583,-0.07298843129916667,0.10909291323798612,-0.08922549306402777,-0.039734442181597225,-0.053402884281875,-0.5051834705091875,-0.5051834705091875,-0.6216082450923611,-0.5502018665725694,-0.7629795809375,-0.5792584044086806,-0.6102678040902778,-0.5921191228042708,-0.29134922975256944,-0.08790032980416666,-0.03043342276642361,-0.6213771413128473,-0.6997666145694444,-0.7029319279965278,-0.21917626621527778,-0.29610774408475693,-0.2902923031802083,-0.6398632195590278,-0.6839242876006945,-0.6126804631638889,-0.2059092545842222,-0.2408804402598611,-0.19615328069152776,-0.5531864482951389,-0.0035826912503472215,-0.609193721940625,0.0983598303289236,-0.7008630979861111,-0.10882863453576389,-0.7864739542013889,0.09277637367881944,-0.5556565445381945,-0.5758878952125,-0.5061117760818056,-0.9587846661805556,-0.9499381152083334,-0.9205543178159722,-0.5783051613600695,-0.6789238722743055,-0.7216100945694445,-0.6764523925694444,-0.6704982207013889,-0.5875576922914584,-0.7617108665625,-0.7732738788541667,-0.7446560382986112,-0.5530382553147917,-0.5530382553147917,-0.6088621453847223,-0.6631983850347222,-0.7861768920486111,-0.5479957449079861,-0.5867660832326389,-0.5010740069659028,-0.572819893733993,-0.6790658550034723,-0.7391399227083333,-0.6906898955347223,-0.6672032207604167,-0.6194686341277778,-0.6244568271829861,-0.6116193431909722,-0.6977294326215278,-0.8012962926388889
10,NA,0.2768484739251701,-0.017835790552414965,-0.11130153218571429,0.6429057303061224,-0.07402485445578232,0.05520472278767687,0.07981086130612244,0.012914325745782312,-0.01135569679404762,-0.018502369593605444,-0.08464036745909184,0.09102650118792517,-0.10815082988231292,-0.04242199836717687,-0.05555212775156462,-0.502500207000204,-0.502500207000204,-0.57776193128833,-0.5218198023523809,-0.7344658053401361,-0.5322894645136055,-0.49465147423503403,-0.6550622732115646,-0.1561508321137755,0.09481299488095238,0.1506870156155187,-0.5472430398278911,-0.5551045535635034,-0.7216897007697279,-0.031301298349489796,-0.14894067596360544,0.011238506011904762,-0.6203792088704422,-0.64835059542517,-0.5674566617217687,-0.06631509457435374,-0.08815159059387755,-0.05007435401190476,-0.5187340469619047,0.1732535694112245,-0.5151408108469387,0.16307269793642856,-0.6614965528265306,0.012085594227846939,-0.7677800950680272,0.1535802537207483,-0.5378077111632653,-0.49740588564489796,-0.6147769522263605,-0.9658081264285714,-0.9545240725510205,-0.9387064280646259,-0.5293832142755102,-0.5402366192047279,-0.7507292607721089,-0.6739055822744898,-0.5913331551945579,-0.5981423286210884,-0.7032434997278911,-0.7686417790476191,-0.6868002527380952,-0.545348810631551,-0.545348810631551,-0.5293404801302721,-0.6244083694133333,-0.7688218289795918,-0.541170169070068,-0.5321351728123129,-0.6258717720829932,-0.5534034787354082,-0.5562717254833334,-0.7791681712244898,-0.692654261914966,-0.5659436778061224,-0.6459477204768708,-0.6331961109697279,-0.5530273596148639,-0.6660146125986395,-0.7871442571768708
